name,abbreviation,url,id,description,status,record_type,countries,year_created,funder,funder_type,maintaining_institution,maintaining_type,contact_name,contact_email,data_access_condition,data_deposition_condition,publications
BioSamples,BioSD,https://www.ebi.ac.uk/biosamples/,1554," The BioSamples database (https://www.ebi.ac.uk/biosamples/) at the European Bioinformatics Institute (EMBL-EBI) is a core infrastructure resource that provides a centralised platform for the storage, curation, and dissemination of biological sample metadata. BioSamples holds sample descriptions across diverse datasets, enhancing their reusability and integrability in accordance with the FAIR (Findable, Accessible, Interoperable, and Reusable) principles. It provides links to assays and specific samples, and accepts direct submissions of sample information.",ready,repository,"Austria, Belgium, Croatia, Czech Republic, Denmark, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Israel, Italy, Lithuania, Luxembourg, Malta, Montenegro, Netherlands, Norway, Portugal, Slovakia, Spain, Sweden, Switzerland, United Kingdom",2010,European Commission; European Commission FP7,Government body,"European Bioinformatics Institute (EMBL-EBI), Wellcome Genome Campus, Hinxton, Cambridgeshire, UK",Research institute,Support email,biosamples@ebi.ac.uk,open,open,10.1093/nar/gkt1081; 10.1093/nar/gkr937; 10.1093/nar/gky1061; 10.1093/nar/gkab1046; 10.1093/nar/gkaf1133
Biofactoid,Biofactoid,https://biofactoid.org/,4774,"Biofactoid (biofactoid.org) helps authors share a searchable representation of their interactions (e.g. binding, gene expression, post-translational modification) between genes or gene products, as well as chemicals. This information, with author attribution, is shared in social media and public databases, such as Pathway Commons, where it can be discovered and analyzed in the context of a large and growing corpus of knowledge. Biofactoid (biofactoid.org) is a public, academic project between groups at Harvard University, University of Toronto and Oregon Health & Science University to help improve the way we share and search for research findings.",ready,knowledgebase,"Canada, United States",2021,United States Defense Advanced Research Projects Agency; National Institute of General Medical Sciences; National Human Genome Research Institute,Government body,,,Jeffrey V Wong; Gary Bader,jeffvin.wong@utoronto.ca; gary.bader@utoronto.ca,open,open,10.7554/eLife.68292; 10.1093/nar/gkz946; 10.21105/joss.03756
Biological General Repository for Interaction Datasets,BioGRID,http://www.thebiogrid.org,2028,"The Biological General Repository for Interaction Datasets (BioGRID) is a public database that archives and disseminates genetic and protein interaction data from model organisms and humans. BioGRID currently holds over 1,740,000 interactions curated from both high-throughput datasets and individual focused studies, as derived from over 70,000+ publications in the primary literature. Complete coverage of the entire literature is maintained for budding yeast (S. cerevisiae), fission yeast (S. pombe) and thale cress (A. thaliana), and efforts to expand curation across multiple metazoan species are underway. All data are freely provided via our search index and available for download in many standardized formats.",ready,knowledgebase,"Canada, United States",2002,"National Library of Medicine (NLM), Bethesda, MD, USA; Canadian Institutes of Health Research (CIHR); National Institutes of Health Office of Research Infrastructure Programs",Government body,"University of Montreal, Canada; Samuel Lunenfeld Research Institute, Mount Sinai Hospital, Toronto M5G 1X5, Canada.; University of Edinburgh, UK; Princeton University, NJ, USA",Research institute; University,,biogridadmin@gmail.com,open,open,10.1093/nar/gkj109; 10.1186/gb-2003-4-3-r23; 10.1002/pro.3978; 10.1093/nar/gky1079
BridgeDb,,https://bridgedb.github.io,2617,"BridgeDb is a framework and data repository for finding and mapping equivalent identifiers from various databases. BridgeDb provides a framework, live services, and identifier mapping files for genes, gene-variant, proteins, metabolites and interactions.",ready,knowledgebase,"Netherlands, United Kingdom, United States",2009,,,"University of Manchester; Heriot-Watt University, Edinburgh, United Kingdom; University of Missouri, USA; Department of Bioinformatics - BiGCaT, Maastricht University, Maastricht, the Netherlands; Gladstone Institute of Cardiovascular Disease, San Francisco, USA",Research institute; University,Egon Willighagen,egon.willighagen@maastrichtuniversity.nl,open,not applicable,10.1186/1471-2105-11-5
British Association of Dermatologists Biologic and Immunomodulators Register,BADBIR,http://www.badbir.org/,4060,"British Association of Dermatologists Biologic and Immunomodulators Register (BADBIR) is a clinical study to monitor the long-term safety of drugs used to treat psoriasis.
",ready,repository,"Ireland, United Kingdom",2011,,,"University of Manchester, UK",University,General contact,badbir@manchester.ac.uk,controlled,controlled,10.1111/j.1365-2133.2012.10835.x
CITF DATA PORTAL,,https://portal.citf.mcgill.ca/,6924,"The COVID-19 Immunity Task Force Data Portal, run by McGill University, centralizes and standardizes individual-level epidemiological and immunological data from CITF-funded studies across Canada. It enables researchers to explore harmonized variables, submit requests for data access according to established policies, and track approved research projects. The portal supports investigations into SARS-CoV-2 infection history, vaccine effectiveness, immunity (both humoral and cellular), and related public health questions.",ready,repository,Canada,,,,"School of Population and Global Health, McGill University ",University,General Contact,info@citfdatabank.ca,controlled,not found,
COVID-19 CVD Registry,,https://www.heart.org/en/professional/quality-improvement/covid-19-cvd-registry,3244,"As physicians, scientists and researchers worldwide struggle to understand the novel coronavirus (COVID-19) pandemic, the American Heart Association (AHA) is developing a novel registry to aggregate data and aid research on the disease, treatment protocols and risk factors tied to adverse cardiovascular outcomes.",ready,repository,United States,2020,,,"American Heart Association, USA",Consortium,General contact,qualityresearch@heart.org,controlled,controlled,
COVID-19 Data Index,,https://www.covid19dataindex.org,3285,"The COVID-19 Data Index collects and indexes COVID-19 datasets from major data repositories, publications, and individual online sources. Diverse types of datasets, including clinical, epidemiological, imaging, omics, socio-demographic, environment, and transportation data are being generated on a daily basis in response to the COVID-19 pandemic, and the goal of the COVID-19 Data Index is to make these datasets easily findable and reusable for researchers.",ready,repository,United States,2020,"National Science Foundation (NSF), USA; University of Texas Health Science Center (UTHealth), Houston, TX, USA",University; Government body,"School of Biomedical Informatics (SBMI), University of Texas Health Science Center (UTHealth), Houston, TX, USA; Department of Biomedical Informatics (DBMI), University of California at San Diego (UCSD) Health, La Jolla, CA, USA",University,,firat.tiryaki@uth.tmc.edu,open,open,
COVID-19 Data Portal,,https://www.covid19dataportal.org,2934,"The COVID-19 Data Portal enables researchers to upload, access and analyse COVID-19 related reference data and specialist datasets. The aim of the COVID-19 Data Portal is to facilitate data sharing and analysis, and to accelerate coronavirus research. The portal includes relevant datasets submitted to EMBL-EBI as well as other major centres for biomedical data. The COVID-19 Data Portal is the primary entry point into the functions of a wider project, the European COVID-19 Data Platform.",ready,repository,European Union,2020,European Commission Horizon 2020,Government body,"EOSC-Life; ELIXIR Europe; European Commission; European Bioinformatics Institute, Wellcome Genome Campus",Research institute; Government body; Consortium,European COVID-19 Data Platform,ecovid19@ebi.ac.uk,open,open,
COVID-19 Data Portal Spain,,https://www.covid19dataportal.es/,4065,"The Spanish COVID-19 Data Portal provides information, guidelines, tools and services to support researchers in utilising Spanish and European infrastructures for data sharing, in particular the European COVID-19 Data Portal. For those interested in ongoing, large research projects in Spain there is a list of projects funded by major funding agencies. It is updated at intervals with new services, tools and data.
",ready,knowledgebase,Spain,2020,"ELIXIR Europe; Barcelona Supercomputing Center (BSC), Barcelona, Spain; Institute of Health Carlos III",Research institute; Government body,"Barcelona Supercomputing Center (BSC), Barcelona, Spain",Government body,General contact,covid19-dataportal@bsc.es,open,controlled,
COVID-19 Dermatology registry,,https://www.aad.org/member/practice/coronavirus/registry,3248,"COVID-19 Dermatology registry aims at collect cases of COVID-19 cutaneous manifestations. The registry is open to medical professionals only, from any specialty.",ready,repository,United States,2020,,,"Massachusetts General Hospital, Boston, MA, USA; American Academy of Dermatology, Rosemont, IL, United States",Government body; Consortium,General contact,covidregistry@aad.org,controlled,controlled,S0190-9622(20)32126-5; S0190-9622(20)30984-1; S0190-9622(20)30658-7; 10.1016/j.jaad.2020.06.050
COVID-19 Drug Interactions,,https://www.covid19-druginteractions.org/,2956,"The Liverpool Drug Interaction Group (based at the University of Liverpool, UK), in collaboration with the University Hospital of Basel (Switzerland) and Radboud UMC (Netherlands), have produced various materials in PDF format to aid the use of experimental agents in the treatment of COVID-19.",ready,knowledgebase,United Kingdom,2020,"Sobi, Stockholm, Sweden; Abbvie, North Chicago, Illinois, USA; Centre of Excellence in Infectious Diseases Research (CEIDR); Gilead, Foster City, CA, USA; Novartis; British HIV Association (BHIVA), Hertfordshire, UK; European AIDS Clinical Society (EACS), Brussels, Belgium; Radboud University Medical Center, Nijmegen, The Netherlands; UK Research and Innovation; MSD, Hoddesdon, UK; Graphics and Vision Research Group, University of Basel, Switzerland",Lab; Research institute; Company; Charitable foundation; University; Government body; Consortium,"National Institute for Health Research (NIHR), UK; Institute of Integrative Biology, University of Liverpool, Liverpool, UK",Government body,David MacEwan,D.Macewan@liverpool.ac.uk,open,not applicable,
COVID-19 Global Rheumatology Alliance,,https://rheum-covid.org/,3254,"COVID-19 Global Rheumatology Alliance aim to collect, analyze and disseminate information about COVID-19 and rheumatology to patients, physicians and other relevant groups to improve the care of patients with rheumatic disease.",ready,repository,Worldwide,2020,"Pfizer, USA; AMGEN, USA; Johnson & Johnson, USA; Cellzome, GSK, Middlesex, UK.; Cellzome, GSK, Middlesex, UK.; Janssen, Belgium; Abbvie, North Chicago, Illinois, USA; Gilead, Foster City, CA, USA; Bristol Myers Squibb, New York, NY, USA",Company,,,General contact,rheum.covid@gmail.com,open,controlled,10.1002/acr.24257; 10.1002/art.41567; keaa483; 10.1136/annrheumdis-2020-217871; 10.1093/rheumatology/keaa191; 10.1016/S2665-9913(20)30095-3
COVID-19 Host Genetics Initiative,COVID-19 hg,https://www.covid19hg.org/,4067,"The COVID-19 host genetics initiative brings together the human genetics community to generate, share, and analyze data to learn the genetic determinants of COVID-19 susceptibility, severity, and outcomes. Such discoveries could help to generate hypotheses for drug repurposing, identify individuals at unusually high or low risk, and contribute to global knowledge of the biology of SARS-CoV-2 infection and disease.


",deprecated,repository,"Finland, United States",2020,,,"Analytical and Translational Genetic Unit, Massachusetts General Hospital; Institute for Molecular Medicine Finland, University of Helsinki",Research institute,Andrea Ganna,aganna@broadinstitute.org,open,open,10.1038/s41431-020-0636-6
COVID-19 Pandemic (AUSSDA - The Austrian Social Science Data Archive),COVID Data Hub by AUSSDA,https://data.aussda.at/dataverse/covid19,3074,"Social Science Data on Coronavirus Disease: Your information hub for SARS-CoV-2 / COVID-19 pandemic related studies in Austria in the social sciences. Studies will be made available as fast as possible. Thus, not all information is available in English. Some studies will be published as pre-releases meaning that these are not the final datasets. Researchers therefore are obliged to check the most recent version before publishing and must add a disclaimer that they have been publishing with a pre-release version. Pre-release datasets are likely to be updated and substantial changes can happen as part of the continuing quality checks (e.g., weighting variables might change).",ready,repository,Austria,,,,AUSSDA,University,,,open,controlled,
COVID-19 Registry,,https://registry.rice.edu/covid19,4066,"The COVID-19 Registry is a research project that aims to provide real-time information on the spread of COVID-19, who is being affected, and how. 
",deprecated,repository,,,Environmental Defense Fund,Charitable foundation,Rice University,University,Marie Lynn Miranda; Joanna Espinoza,Covid19Registry@rice.edu; irb@rice.edu,controlled,controlled,
COVID-19 Research Collaborations,,https://covid19.elsevierpure.com/,2926,"The COVID-19 Research Collaborations database stores information on researchers and institutions for the purposes of identifying potential research experts or collaborators in areas related to the coronavirus epidemic across basic science, translational research, or clinical practice.",deprecated,repository,Netherlands,2020,,,"Elsevier Inc, Amsterdam, Netherlands",Publisher,,,not found,not found,
COVID-19 SeroHub,SeroHub,https://doi.org/10.17917/3pz5-5m44,3901,"The COVID-19 Seroprevalence Studies Hub, known as COVID-19 SeroHub, is an online dashboard intended to help researchers and policymakers monitor studies of Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) seroprevalence in the United States. These types of studies use blood tests to identify the proportion of people in the population who possess antibodies to SARS-CoV-2.
COVID-19 SeroHub is a collaboration of the Centers for Disease Control and Prevention, the National Cancer Institute and National Institute of Allergy and Infectious Diseases, part of the National Institutes of Health.",deprecated,knowledgebase_and_repository,United States,2020,,,"National Cancer Institute (NCI), National Institutes of Health (NIH), Bethesda, USA",Government body,,,open,controlled,
COVID-HEP Registry,,https://www.covid-hep.net/,3119,"COVID-HEP Registry is a universal and collaborative registry project to collect data on patients with liver disease at any stage or liver transplants who develop laboratory-confirmed COVID-19. We are pleased to encourage reports from worldwide. However, if reporting from the Americas or China/Japan/Korea, please see our collaborators at: SECURE-cirrhosis.",deprecated,repository,United Kingdom,2020,,,"University of Oxford, UK; European Association for the Study of the Liver (EASL); Translational Gastroenterology Unit (TGU), Oxford, UK",Research institute; University; Consortium,Thomas Marjot,Thomas.marjot@ndm.ox.ac.uk,controlled,open,S0168-8278(20)33667-9; S2468-1253(20)30271-5
COVID19-NMR,,https://covid19-nmr.de/,4850,"The COVID-19 NMR Repository aims to make as many viral RNA and proteins as possible available for NMR work and screen them using a fragment library. Originally, the goal of the project was to determine RNA and protein structures of SARS-CoV-2 and to investigate the drugability of those structures by small molecules. As the initial work has been completed, they continue to investigate viral research via NMR and beyond.",ready,repository,Worldwide,2020,Goethe University Frankfurt; Deutsche Forschungsgemeinschaft; Volkswagen Foundation,University; Government body; Charitable foundation,Darmstadt University of Applied Sciences; Goethe University Frankfurt,University,Harald Schwalbe,schwalbe@nmr.uni-frankfurt.de,open,controlled,10.1002/anie.202205858
Canadian VirusSeq Data Portal,CVDP,https://virusseq-dataportal.ca/,4062,"The goal of the CanCOGeN VirusSeq project is to sequence up to 150,000 viral samples from Canadians testing positive for COVID-19. The VirusSeq Data Portal is an open-source and open-access data portal for all Canadian SARS-CoV-2 sequences and associated non-personal contextual data. It harmonizes, validates and automates submission to international databases.
",ready,repository,Canada,2022,"Genome Canada, Canada; Government of Canada",Government body,Ontario Institute For Cancer Research,Research institute,General contact,info@virusseq-dataportal.ca,open,controlled,
Cardiac complicAtions in Patients With SARS Corona vIrus 2 regisTrY,CAPACITY-COVID,https://capacity-covid.eu/,3312,"CAPACITY-COVID is a registry of patients with COVID-19, their history of cardiovascular disease and the occurrence of cardiovascular complications in COVID-19 patients. CAPACITY uses an extension of the CRF released by the ISARIC and WHO in response to the emerging outbreak of COVID-19.",ready,repository,,2020,,,"Dutch Heart Foundation; Dutch Association for Cardiology (NVVC); Netherlands Heart Registration (NHR); Harteraad; University College London Hospitals NHS Foundation Trust (UCLH); Dutch CardioVascular Alliance (DCVA); Dutch Network for Cardiovascular Research (WCN); Netherlands Heart Institute - Durrer Center; National Institute for Health Research (NIHR), UK; The British Heart Foundation; Institute of Structural and Molecular Biology, University College London, London, UK",Research institute; Government body; Consortium; Charitable foundation,,,controlled,open,
Center for International Blood and Marrow Transplant Research ,CIBMTR,https://www.cibmtr.org/Pages/index.aspx,4063,"The CIBMTR is dedicated to improving survival, treatment, and quality of life for transplant patients. With more than 1,650 publications, the CIBMTR conducts practice-changing research that helps patients and physicians.
",ready,repository,United States,2004,"Be The Match; Medical College of Wisconsin (MCW), Wisconsin, USA",University; Charitable foundation,,,,,partially open,open,
Chinese Clinical Trial Registry,ChiCTR,https://www.chictr.org.cn/indexEN.html,2935,"Chinese Clinical Trial Registry provides the services include register for trials, consultation for trial design, central randomization for an allocation sequence, peer review for draft articles and training for peer reviewers.",ready,repository,China,2005,,,"China Academy of Chinese Medical Sciences (CACMS), Beijing, China",Research institute,Taixiang Wu,txwutx@hotmail.com,open,controlled,10.1111/j.1756-5391.2011.01137.x
Comparative Toxicogenomics Database,CTD,https://ctdbase.org/,1716,"The Comparative Toxicogenomics Database (CTD) advances understanding of the effects of environmental chemicals on human health. Biocurators manually curate chemical-gene, chemical-disease, and gene-disease relationships from the scientific literature. This core data is then internally integrated to generate inferred chemical-gene-disease networks. Additionally, the core data is integrated with external data sets (such as Gene Ontology and pathway annotations) to predict many novel associations between different data types. A unique and powerful feature of CTD is the inferred relationships generated by data integration that helps turn knowledge into discoveries by identifying novel connections between chemicals, genes, diseases, pathways, and GO annotations that might not otherwise be apparent using other biological resources.",ready,knowledgebase,United States,2004,"National Institute of Environmental Health Sciences, National Institutes of Health; National Institute of Neurological Disorders and Stroke",Research institute; Government body,North Carolina State University,University,Allan Peter Davis,apdavis3@ncsu.edu,open,not applicable,10.1093/database/bas051; 10.1093/database/bar065; 10.1093/nar/gks994; 10.1093/database/bat080; 10.1371/journal.pone.0058201; 10.1093/database/bar034; 10.6026/97320630007154; 10.6026/97320630004173; 10.1093/nar/gky868; 10.1186/1755-8794-1-48; 10.1093/nar/gkw838; 10.1289/EHP174; 10.1371/journal.pone.0155530; 10.1093/nar/gku935; 10.1093/toxsci/kfy131; 10.1289/EHP2873; https://doi.org/10.1093/toxsci/kfaa113; 10.1093/nar/gkac833; 10.1093/nar/gkae883; 10.3389/ftox.2024.1437884; 10.1093/toxsci/kfad069; 10.1016/j.crtox.2021.03.001; 10.1016/j.cotox.2019.03.002
Complex Portal,CP,https://www.ebi.ac.uk/complexportal/,2679,"The Complex Portal is a manually curated, encyclopaedic resource of macromolecular complexes from a number of key model organisms. The majority of complexes are made up of proteins but may also include nucleic acids or small molecules. All data is freely available for search and download.",ready,knowledgebase,"Austria, Belgium, Croatia, Czech Republic, Denmark, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Israel, Italy, Lithuania, Luxembourg, Malta, Montenegro, Netherlands, Norway, Portugal, Slovakia, Spain, Sweden, Switzerland, United Kingdom",2014,"ELIXIR Czech Republic; Biotechnology and Biological Sciences Research Council (BBSRC), UK; National Institutes of Health (NIH), Bethesda, MD, USA; OpenTargets and the China Scholarship Council",Government body,"European Bioinformatics Institute (EMBL-EBI), Wellcome Genome Campus, Hinxton, Cambridgeshire, UK; Institute of Structural and Molecular Biology, University College London, London, UK; Swiss Institute of Bioinformatics (SIB), Switzerland; Multimodal and Functional Imaging Laboratory, Central European Institute of Technology (CEITEC), Brno, Czech Republic",Research institute; Lab,Birgit Meldal,bmeldal@ebi.ac.uk,open,not applicable,10.1093/nar/gky1001; 10.1093/nar/gku975
Consortium for Clinical Characterization of COVID-19 by EHR,4CE,https://covidclinical.net/,4079,"4CE is an international consortium for electronic health record (EHR) data-driven studies of the COVID-19 pandemic. The goal of this effort—led by the i2b2 international academics users group—is to inform doctors, epidemiologists and the public about COVID-19 patients with data acquired through the health care process.",ready,repository,"Brazil, Singapore, United States, European Union",2020,,,I2b2 Transmart Foundation,Charitable foundation,,,controlled,not applicable,
Coronavirus Antiviral Research Database,COVDB,https://covdb.stanford.edu/,2917,"COVDB contains cell culture, animal model, and clinical data on compounds with a proven or potential anti-coronavirus activity.",ready,knowledgebase,United States,2020,,,"Stanford University, CA, USA",University,HIV Drug resistance Database team,hivdbteam@stanford.edu,open,controlled,
Coronavirus and Atopic Dermatitis (AD) / Alopecia Reporting Database,SECURE-DERM,https://www.secure-derm.com/,3292,"Given the interest in the emerging and evolving coronavirus (COVID-19) pandemic and the questions regarding how this will impact patients with atopic dermatitis (AD) or alopecia who are treated with or without systemic immunomodulating medication, we have created a number of secure, online, de-identified Personal Health Identifier (PHI) – free reporting registries and an anonymous patient reported survey.",deprecated,repository,"Ireland, Netherlands, United Kingdom",2020,"National and International Skin Registry Solutions (NISR), Dublin, Ireland",Undefined,,,General contact,info@nisrsolutions.com,not found,not found,10.1111/bjd.19161; 10.1016/j.jaad.2020.06.050
Coronavirus and Celiac Disease Reporting Database,,https://covidceliac.org/,3287,"Surveillance Epidemiology of Coronavirus Under Research Exclusion (SECURE-Celiac) is an international, pediatric and adult database to monitor and report on outcomes of COVID-19 occurring in patients with celiac disease. We encourage clinicians worldwide to report ALL cases of COVID-19 in patients with celiac disease, regardless of severity (including asymptomatic patients detected through public health screening).",deprecated,repository,United States,2020,,,"Society for the Study of Celiac Disease, Downers Grove, IL, USA; World Gastroenterology Organisation (WGO), Milwaukee, WI, USA; Beyond Celiac, Ambler, PA, USA; Celiac Disease Foundation, Woodland Hills, CA, USA",Charitable foundation,Benjamin Lebwohl,BL114@cumc.columbia.edu,not found,not found,
Coronavirus and MS Reporting Database,,https://www.covims.org/,3276,"COViMS (COVID-19 Infections in MS & Related Diseases) is a joint effort of the National MS Society, Consortium of MS Centers and Multiple Sclerosis Society of Canada to capture information on outcomes of people with MS and other CNS demyelinating diseases (Neuromyelitis Optica, or MOG antibody disease) who have developed COVID-19.",deprecated,repository,Canada,2020,,,"The Consortium of Multiple Sclerosis Centers, Hackensack, NJ, USA; National Multiple Sclerosis Society; Multiple Sclerosis (MS) Society of Canada",Consortium; Charitable foundation,General contact,info@covims.org,controlled,not applicable,10.1002/ana.25907
